,assignments,bmp,egf,sd,ra
0,0,3,3,2,0
1,1,3,3,1,0
2,2,3,3,0,0
3,3,2,3,2,0
4,4,2,3,1,0
5,5,2,3,0,0
6,6,1,3,2,0
7,7,1,3,1,0
8,8,1,3,0,0
9,9,0,3,2,0
10,10,0,3,1,0
11,11,0,3,0,0
12,12,3,3,0,2
13,13,3,3,0,1
14,14,3,3,0,0
15,15,2,3,0,2
16,16,2,3,0,1
17,17,2,3,0,0
18,18,1,3,0,2
19,19,1,3,0,1
20,20,1,3,0,0
21,21,0,3,0,2
22,22,0,3,0,1
23,23,0,3,0,0
24,24,3,2,2,0
25,25,3,2,1,0
26,26,3,2,0,0
27,27,2,2,2,0
28,28,2,2,1,0
29,29,2,2,0,0
30,30,1,2,2,0
31,31,1,2,1,0
32,32,1,2,0,0
33,33,0,2,2,0
34,34,0,2,1,0
35,35,0,2,0,0
36,36,3,2,0,2
37,37,3,2,0,1
38,38,3,2,0,0
39,39,2,2,0,2
40,40,2,2,0,1
41,41,2,2,0,0
42,42,1,2,0,2
43,43,1,2,0,1
44,44,1,2,0,0
45,45,0,2,0,2
46,46,0,2,0,1
47,47,0,2,0,0
48,48,3,1,2,0
49,49,3,1,1,0
50,50,3,1,0,0
51,51,2,1,2,0
52,52,2,1,1,0
53,53,2,1,0,0
54,54,1,1,2,0
55,55,1,1,1,0
56,56,1,1,0,0
57,57,0,1,2,0
58,58,0,1,1,0
59,59,0,1,0,0
60,60,3,1,0,2
61,61,3,1,0,1
62,62,3,1,0,0
63,63,2,1,0,2
64,64,2,1,0,1
65,65,2,1,0,0
66,66,1,1,0,2
67,67,1,1,0,1
68,68,1,1,0,0
69,69,0,1,0,2
70,70,0,1,0,1
71,71,0,1,0,0
72,72,3,0,2,0
73,73,3,0,1,0
74,74,3,0,0,0
75,75,2,0,2,0
76,76,2,0,1,0
77,77,2,0,0,0
78,78,1,0,2,0
79,79,1,0,1,0
80,80,1,0,0,0
81,81,0,0,2,0
82,82,0,0,1,0
83,83,0,0,0,0
84,84,3,0,0,2
85,85,3,0,0,1
86,86,3,0,0,0
87,87,2,0,0,2
88,88,2,0,0,1
89,89,2,0,0,0
90,90,1,0,0,2
91,91,1,0,0,1
92,92,1,0,0,0
93,93,0,0,0,2
94,94,0,0,0,1
95,95,0,0,0,0
